FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
48,48.0,0.0,23.0,0.0,29.0,0.0,0.0,76.0,58.0,40.0,96.0,122.0,107.0,19.0,0.0,41.0,99.0,25.0,74.0,204.0,296.0,58.0,0.0,0.0,0.0,0.0,0.0,61.0,183.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,268.0,0.0,0.0,0.0,0.0,24.0,0.0,64.0,62.0,0.0,59.0,50.0,0.0,0.0,0.0,36.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,43.0,0.0,23.0,24.0,25.0,0.0,0.0,74.0,53.0,43.0,83.0,122.0,103.0,21.0,0.0,45.0,91.0,29.0,64.0,187.0,298.0,58.0,0.0,0.0,0.0,0.0,18.0,59.0,194.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,288.0,0.0,0.0,0.0,0.0,28.0,0.0,61.0,70.0,0.0,65.0,51.0,0.0,0.0,0.0,35.0,20.0,0.0,48.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
47,45.0,0.0,16.0,19.0,31.0,0.0,0.0,76.0,46.0,46.0,86.0,127.0,100.0,21.0,0.0,40.0,101.0,27.0,69.0,192.0,291.0,71.0,0.0,0.0,0.0,0.0,16.0,59.0,197.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,281.0,0.0,0.0,0.0,0.0,21.0,0.0,52.0,60.0,0.0,65.0,48.0,0.0,0.0,0.0,35.0,18.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,41.0,0.0,17.0,27.0,29.0,0.0,0.0,70.0,55.0,49.0,82.0,112.0,100.0,18.0,0.0,44.0,100.0,28.0,68.0,188.0,287.0,54.0,0.0,0.0,0.0,0.0,0.0,58.0,191.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,286.0,0.0,0.0,0.0,0.0,28.0,0.0,60.0,72.0,0.0,58.0,53.0,0.0,0.0,0.0,42.0,19.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,47.0,0.0,26.0,21.0,28.0,0.0,0.0,75.0,61.0,49.0,89.0,119.0,99.0,21.0,0.0,42.0,96.0,19.0,74.0,193.0,283.0,57.0,0.0,0.0,0.0,0.0,25.0,59.0,198.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,291.0,0.0,0.0,0.0,0.0,22.0,0.0,65.0,67.0,0.0,61.0,47.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,46.0,0.0,26.0,20.0,24.0,0.0,0.0,78.0,55.0,51.0,86.0,112.0,97.0,21.0,0.0,43.0,99.0,29.0,72.0,192.0,285.0,54.0,0.0,0.0,0.0,0.0,16.0,54.0,201.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,288.0,0.0,0.0,0.0,0.0,18.0,16.0,64.0,66.0,0.0,61.0,55.0,0.0,0.0,0.0,38.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,46.0,0.0,23.0,0.0,27.0,0.0,0.0,74.0,59.0,44.0,89.0,122.0,89.0,17.0,0.0,45.0,101.0,19.0,67.0,193.0,282.0,58.0,0.0,0.0,0.0,0.0,24.0,56.0,203.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,66.0,0.0,63.0,56.0,0.0,0.0,0.0,35.0,20.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,39.0,0.0,24.0,0.0,28.0,0.0,0.0,84.0,58.0,43.0,84.0,117.0,98.0,17.0,0.0,41.0,101.0,27.0,65.0,195.0,287.0,57.0,0.0,0.0,0.0,0.0,19.0,57.0,201.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,297.0,0.0,0.0,0.0,0.0,21.0,0.0,66.0,64.0,0.0,62.0,48.0,0.0,0.0,0.0,38.0,16.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,47.0,0.0,23.0,19.0,30.0,0.0,0.0,68.0,61.0,34.0,84.0,119.0,89.0,0.0,0.0,42.0,110.0,19.0,66.0,190.0,290.0,59.0,0.0,0.0,0.0,0.0,25.0,55.0,205.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,305.0,0.0,0.0,0.0,0.0,19.0,0.0,55.0,67.0,0.0,64.0,55.0,0.0,0.0,0.0,42.0,18.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,30.0,0.0,26.0,21.0,26.0,0.0,0.0,74.0,58.0,44.0,81.0,115.0,92.0,0.0,0.0,39.0,108.0,21.0,70.0,203.0,288.0,48.0,0.0,0.0,0.0,0.0,18.0,55.0,204.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,308.0,0.0,0.0,0.0,0.0,18.0,20.0,59.0,67.0,0.0,61.0,47.0,0.0,0.0,0.0,43.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,38.0,0.0,18.0,0.0,22.0,0.0,0.0,68.0,50.0,40.0,91.0,116.0,88.0,19.0,0.0,49.0,101.0,19.0,71.0,195.0,279.0,63.0,0.0,0.0,0.0,0.0,22.0,48.0,206.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,303.0,0.0,0.0,0.0,0.0,29.0,0.0,64.0,61.0,0.0,65.0,52.0,0.0,0.0,0.0,43.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39.0,0.0,24.0,17.0,27.0,0.0,0.0,70.0,47.0,41.0,91.0,120.0,84.0,17.0,0.0,39.0,106.0,29.0,69.0,198.0,283.0,59.0,0.0,0.0,0.0,0.0,0.0,54.0,201.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,305.0,0.0,0.0,0.0,0.0,22.0,17.0,60.0,62.0,0.0,68.0,54.0,0.0,0.0,0.0,39.0,0.0,0.0,49.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45.0,0.0,22.0,27.0,23.0,0.0,0.0,68.0,57.0,40.0,85.0,119.0,91.0,20.0,0.0,37.0,114.0,30.0,73.0,194.0,292.0,58.0,0.0,0.0,0.0,0.0,18.0,58.0,200.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,307.0,0.0,0.0,0.0,0.0,23.0,0.0,63.0,67.0,0.0,64.0,55.0,0.0,0.0,0.0,45.0,22.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,41.0,0.0,22.0,16.0,28.0,0.0,0.0,66.0,55.0,43.0,88.0,121.0,101.0,0.0,0.0,42.0,112.0,21.0,73.0,191.0,289.0,63.0,0.0,0.0,0.0,0.0,25.0,59.0,201.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,317.0,0.0,0.0,0.0,0.0,24.0,18.0,58.0,61.0,0.0,57.0,52.0,0.0,0.0,0.0,47.0,0.0,0.0,59.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
48,40.0,0.0,18.0,23.0,31.0,0.0,0.0,71.0,55.0,43.0,87.0,117.0,86.0,0.0,0.0,42.0,106.0,28.0,71.0,187.0,291.0,57.0,0.0,0.0,0.0,0.0,20.0,61.0,204.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,319.0,0.0,0.0,0.0,0.0,24.0,0.0,57.0,68.0,0.0,66.0,53.0,0.0,0.0,0.0,45.0,16.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40.0,0.0,22.0,21.0,30.0,0.0,0.0,67.0,55.0,36.0,78.0,106.0,83.0,21.0,0.0,38.0,100.0,27.0,72.0,186.0,284.0,63.0,0.0,0.0,0.0,0.0,19.0,54.0,205.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,328.0,0.0,0.0,0.0,0.0,24.0,0.0,62.0,70.0,0.0,56.0,51.0,0.0,0.0,0.0,44.0,20.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,37.0,0.0,0.0,0.0,16.0,0.0,0.0,72.0,50.0,36.0,79.0,102.0,97.0,0.0,0.0,43.0,105.0,25.0,65.0,181.0,266.0,48.0,0.0,0.0,0.0,0.0,20.0,43.0,202.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,333.0,0.0,0.0,0.0,0.0,22.0,0.0,67.0,64.0,0.0,62.0,47.0,0.0,0.0,0.0,40.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,35.0,0.0,27.0,22.0,25.0,0.0,0.0,64.0,47.0,28.0,84.0,106.0,89.0,21.0,0.0,46.0,98.0,23.0,66.0,189.0,278.0,58.0,0.0,0.0,0.0,0.0,21.0,54.0,201.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,332.0,0.0,0.0,0.0,0.0,23.0,17.0,61.0,66.0,0.0,57.0,43.0,0.0,0.0,0.0,38.0,18.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,42.0,0.0,22.0,16.0,24.0,0.0,0.0,81.0,45.0,39.0,79.0,117.0,97.0,22.0,0.0,44.0,98.0,27.0,68.0,195.0,286.0,61.0,0.0,0.0,0.0,0.0,22.0,47.0,208.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,332.0,0.0,0.0,0.0,0.0,22.0,0.0,65.0,72.0,0.0,55.0,46.0,0.0,0.0,0.0,38.0,17.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,36.0,0.0,22.0,27.0,24.0,0.0,0.0,72.0,50.0,41.0,75.0,114.0,101.0,18.0,0.0,40.0,108.0,24.0,78.0,196.0,279.0,53.0,0.0,0.0,0.0,0.0,20.0,45.0,199.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,326.0,0.0,0.0,0.0,0.0,27.0,0.0,59.0,69.0,0.0,57.0,44.0,0.0,0.0,0.0,42.0,19.0,0.0,48.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
44,40.0,0.0,20.0,23.0,22.0,0.0,0.0,76.0,56.0,43.0,85.0,113.0,104.0,0.0,0.0,42.0,115.0,16.0,72.0,203.0,297.0,59.0,0.0,0.0,0.0,0.0,25.0,43.0,191.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,309.0,0.0,0.0,0.0,0.0,24.0,16.0,63.0,58.0,0.0,62.0,39.0,0.0,0.0,0.0,31.0,18.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,40.0,0.0,25.0,23.0,28.0,0.0,0.0,71.0,63.0,49.0,93.0,127.0,111.0,16.0,0.0,34.0,111.0,26.0,80.0,212.0,310.0,61.0,0.0,0.0,0.0,0.0,21.0,60.0,206.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,295.0,0.0,0.0,0.0,0.0,26.0,0.0,72.0,59.0,0.0,47.0,45.0,0.0,0.0,0.0,34.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,38.0,0.0,22.0,26.0,28.0,0.0,0.0,78.0,59.0,49.0,90.0,131.0,112.0,0.0,0.0,43.0,112.0,22.0,82.0,201.0,310.0,57.0,0.0,0.0,0.0,0.0,23.0,51.0,207.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,294.0,0.0,0.0,0.0,0.0,26.0,0.0,58.0,59.0,0.0,61.0,45.0,0.0,0.0,0.0,51.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,42.0,0.0,19.0,16.0,33.0,0.0,0.0,73.0,62.0,47.0,90.0,128.0,110.0,0.0,0.0,36.0,114.0,27.0,76.0,209.0,285.0,55.0,0.0,0.0,0.0,0.0,23.0,47.0,204.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,290.0,0.0,0.0,0.0,0.0,21.0,0.0,52.0,53.0,0.0,58.0,44.0,0.0,0.0,0.0,36.0,17.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,44.0,0.0,19.0,18.0,30.0,0.0,0.0,77.0,57.0,51.0,92.0,122.0,110.0,0.0,0.0,34.0,114.0,27.0,69.0,207.0,291.0,62.0,0.0,0.0,0.0,0.0,25.0,55.0,203.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,300.0,0.0,0.0,0.0,0.0,22.0,0.0,60.0,56.0,0.0,59.0,51.0,0.0,0.0,0.0,31.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,41.0,0.0,20.0,26.0,26.0,0.0,0.0,77.0,61.0,44.0,87.0,119.0,106.0,20.0,0.0,37.0,117.0,30.0,77.0,195.0,289.0,58.0,0.0,0.0,0.0,0.0,18.0,57.0,211.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,317.0,0.0,0.0,0.0,0.0,25.0,0.0,65.0,58.0,0.0,64.0,51.0,0.0,0.0,0.0,42.0,17.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
