FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0.0,0.0,24.0,18.0,86.0,51.0,42.0,0.0,0.0,25.0,75.0,149.0,89.0,57.0,29.0,0.0,0.0,90.0,168.0,386.0,89.0,0.0,0.0,0.0,0.0,69.0,107.0,76.0,20.0,0.0,0.0,0.0,0.0,81.0,98.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,18.0,18.0,89.0,49.0,43.0,0.0,0.0,24.0,81.0,139.0,81.0,63.0,33.0,0.0,0.0,84.0,171.0,390.0,97.0,0.0,0.0,0.0,0.0,80.0,99.0,80.0,0.0,0.0,0.0,0.0,0.0,75.0,98.0,59.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,25.0,0.0,91.0,61.0,47.0,0.0,0.0,21.0,78.0,146.0,78.0,68.0,33.0,0.0,0.0,86.0,174.0,383.0,104.0,0.0,0.0,0.0,0.0,87.0,105.0,82.0,16.0,0.0,0.0,0.0,0.0,76.0,88.0,59.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,31.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,26.0,0.0,95.0,58.0,38.0,0.0,0.0,26.0,86.0,150.0,86.0,66.0,37.0,0.0,0.0,93.0,170.0,384.0,100.0,0.0,0.0,0.0,0.0,78.0,108.0,77.0,17.0,0.0,0.0,0.0,0.0,81.0,96.0,60.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,23.0,0.0,94.0,61.0,47.0,0.0,0.0,24.0,87.0,141.0,88.0,67.0,27.0,0.0,0.0,87.0,179.0,386.0,100.0,0.0,0.0,0.0,0.0,91.0,105.0,75.0,0.0,0.0,0.0,0.0,0.0,84.0,92.0,64.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,28.0,0.0,95.0,52.0,51.0,0.0,0.0,22.0,78.0,143.0,90.0,66.0,27.0,0.0,0.0,94.0,170.0,390.0,95.0,0.0,0.0,0.0,0.0,88.0,104.0,71.0,0.0,0.0,0.0,0.0,0.0,77.0,98.0,67.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29.0,0.0,89.0,64.0,50.0,0.0,0.0,27.0,81.0,142.0,90.0,70.0,27.0,0.0,0.0,96.0,171.0,385.0,95.0,0.0,0.0,0.0,0.0,93.0,110.0,76.0,17.0,0.0,0.0,0.0,0.0,85.0,95.0,71.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,30.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,23.0,16.0,102.0,65.0,41.0,0.0,0.0,20.0,87.0,139.0,91.0,66.0,37.0,0.0,0.0,95.0,175.0,388.0,101.0,0.0,0.0,0.0,0.0,93.0,114.0,79.0,22.0,0.0,0.0,0.0,0.0,78.0,105.0,66.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,28.0,0.0,93.0,65.0,54.0,0.0,0.0,26.0,76.0,145.0,82.0,62.0,31.0,0.0,0.0,95.0,175.0,384.0,98.0,0.0,0.0,0.0,0.0,106.0,115.0,81.0,0.0,0.0,0.0,0.0,0.0,84.0,106.0,67.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29.0,0.0,88.0,61.0,49.0,0.0,0.0,26.0,74.0,144.0,90.0,63.0,27.0,0.0,0.0,100.0,178.0,385.0,97.0,0.0,0.0,0.0,0.0,92.0,107.0,78.0,20.0,0.0,0.0,0.0,0.0,89.0,100.0,71.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,20.0,21.0,101.0,61.0,54.0,0.0,0.0,28.0,84.0,146.0,89.0,66.0,34.0,0.0,0.0,95.0,181.0,386.0,102.0,0.0,0.0,0.0,0.0,106.0,112.0,75.0,16.0,0.0,0.0,0.0,0.0,83.0,104.0,68.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,28.0,0.0,102.0,68.0,42.0,0.0,0.0,24.0,84.0,149.0,87.0,64.0,37.0,0.0,0.0,97.0,178.0,388.0,94.0,0.0,0.0,0.0,0.0,101.0,117.0,81.0,0.0,0.0,0.0,0.0,0.0,89.0,104.0,70.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,30.0,20.0,100.0,58.0,45.0,0.0,0.0,22.0,85.0,140.0,80.0,63.0,30.0,0.0,0.0,100.0,170.0,383.0,90.0,0.0,0.0,0.0,0.0,107.0,111.0,75.0,20.0,0.0,0.0,0.0,0.0,82.0,106.0,66.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,35.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29.0,32.0,94.0,75.0,46.0,0.0,0.0,24.0,80.0,142.0,83.0,66.0,35.0,0.0,0.0,103.0,170.0,389.0,97.0,0.0,0.0,0.0,0.0,104.0,115.0,83.0,17.0,0.0,0.0,0.0,0.0,93.0,109.0,71.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,21.0,0.0,96.0,65.0,53.0,0.0,0.0,24.0,82.0,135.0,86.0,65.0,30.0,0.0,0.0,98.0,171.0,383.0,95.0,0.0,0.0,0.0,0.0,101.0,118.0,82.0,17.0,0.0,0.0,0.0,0.0,91.0,100.0,70.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,24.0,21.0,98.0,66.0,56.0,0.0,0.0,27.0,78.0,144.0,86.0,68.0,29.0,0.0,16.0,110.0,177.0,383.0,100.0,0.0,0.0,0.0,0.0,108.0,123.0,83.0,0.0,0.0,0.0,0.0,0.0,89.0,109.0,73.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,33.0,19.0,98.0,54.0,50.0,0.0,0.0,23.0,83.0,137.0,100.0,61.0,33.0,0.0,0.0,101.0,181.0,399.0,99.0,0.0,0.0,0.0,0.0,106.0,116.0,80.0,21.0,0.0,0.0,0.0,0.0,90.0,110.0,74.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,30.0,0.0,100.0,66.0,51.0,0.0,0.0,22.0,76.0,141.0,84.0,66.0,22.0,0.0,0.0,107.0,175.0,396.0,102.0,0.0,0.0,0.0,0.0,116.0,121.0,78.0,20.0,0.0,0.0,0.0,0.0,89.0,102.0,72.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,26.0,17.0,95.0,66.0,44.0,0.0,0.0,23.0,82.0,143.0,86.0,59.0,28.0,0.0,0.0,103.0,182.0,396.0,101.0,0.0,0.0,0.0,0.0,109.0,123.0,83.0,16.0,0.0,0.0,0.0,0.0,87.0,108.0,68.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,39.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,30.0,0.0,97.0,68.0,54.0,0.0,0.0,25.0,87.0,142.0,90.0,65.0,34.0,0.0,0.0,106.0,183.0,391.0,97.0,0.0,0.0,0.0,0.0,109.0,119.0,82.0,0.0,0.0,0.0,0.0,0.0,89.0,107.0,72.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,33.0,18.0,104.0,69.0,54.0,0.0,0.0,23.0,83.0,141.0,87.0,68.0,36.0,0.0,0.0,108.0,180.0,392.0,91.0,0.0,0.0,0.0,0.0,114.0,121.0,85.0,21.0,0.0,0.0,0.0,0.0,94.0,113.0,73.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,35.0,0.0,89.0,70.0,52.0,0.0,0.0,26.0,80.0,141.0,84.0,68.0,36.0,0.0,0.0,99.0,177.0,387.0,90.0,0.0,0.0,0.0,0.0,111.0,118.0,79.0,0.0,0.0,0.0,0.0,0.0,98.0,112.0,73.0,26.0,0.0,0.0,0.0,0.0,21.0,0.0,65.0,40.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,34.0,0.0,92.0,66.0,52.0,0.0,0.0,28.0,79.0,140.0,84.0,69.0,35.0,0.0,0.0,106.0,175.0,395.0,96.0,0.0,0.0,0.0,0.0,121.0,122.0,74.0,0.0,0.0,0.0,0.0,0.0,92.0,105.0,77.0,31.0,0.0,0.0,0.0,0.0,21.0,0.0,63.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,33.0,21.0,98.0,55.0,54.0,0.0,0.0,28.0,82.0,146.0,78.0,68.0,37.0,0.0,0.0,101.0,180.0,387.0,96.0,0.0,0.0,0.0,0.0,114.0,121.0,83.0,0.0,0.0,0.0,0.0,0.0,86.0,111.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,39.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29.0,17.0,94.0,64.0,55.0,0.0,0.0,30.0,81.0,139.0,85.0,69.0,32.0,0.0,0.0,101.0,182.0,395.0,103.0,0.0,0.0,0.0,0.0,115.0,127.0,80.0,17.0,0.0,0.0,0.0,0.0,90.0,111.0,63.0,31.0,0.0,0.0,0.0,0.0,19.0,0.0,55.0,33.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29.0,18.0,92.0,63.0,51.0,0.0,0.0,16.0,79.0,144.0,79.0,69.0,26.0,0.0,0.0,102.0,177.0,391.0,99.0,0.0,0.0,0.0,0.0,117.0,124.0,84.0,22.0,0.0,0.0,0.0,0.0,94.0,111.0,73.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,35.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,31.0,0.0,101.0,66.0,54.0,0.0,0.0,29.0,87.0,144.0,79.0,61.0,35.0,0.0,0.0,105.0,180.0,391.0,100.0,0.0,0.0,0.0,0.0,116.0,138.0,77.0,17.0,0.0,0.0,0.0,0.0,92.0,115.0,74.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,37.0,25.0,103.0,60.0,45.0,0.0,0.0,28.0,92.0,146.0,77.0,72.0,36.0,0.0,0.0,105.0,183.0,393.0,102.0,0.0,0.0,0.0,0.0,120.0,123.0,84.0,0.0,0.0,0.0,0.0,0.0,95.0,112.0,67.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29.0,0.0,99.0,65.0,52.0,0.0,0.0,28.0,79.0,145.0,87.0,73.0,28.0,0.0,0.0,95.0,178.0,393.0,96.0,0.0,0.0,0.0,0.0,117.0,118.0,84.0,16.0,0.0,0.0,0.0,0.0,97.0,110.0,75.0,27.0,0.0,0.0,0.0,0.0,19.0,0.0,64.0,37.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,29.0,16.0,96.0,62.0,57.0,0.0,0.0,27.0,87.0,146.0,82.0,69.0,36.0,0.0,0.0,105.0,181.0,399.0,105.0,0.0,0.0,0.0,0.0,110.0,121.0,82.0,29.0,0.0,0.0,0.0,0.0,86.0,108.0,72.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,31.0,20.0,107.0,57.0,56.0,0.0,0.0,22.0,95.0,148.0,94.0,67.0,35.0,0.0,0.0,104.0,184.0,401.0,96.0,0.0,0.0,0.0,0.0,116.0,127.0,74.0,0.0,0.0,0.0,0.0,0.0,93.0,109.0,75.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,38.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,33.0,19.0,105.0,55.0,48.0,0.0,0.0,24.0,86.0,154.0,84.0,68.0,38.0,0.0,0.0,104.0,182.0,398.0,90.0,0.0,0.0,0.0,0.0,109.0,120.0,78.0,0.0,0.0,0.0,0.0,0.0,94.0,113.0,68.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
