FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
93,0.0,19.0,22.0,0.0,22.0,0.0,0.0,16.0,18.0,0.0,47.0,53.0,63.0,16.0,0.0,0.0,0.0,0.0,0.0,83.0,172.0,28.0,0.0,0.0,0.0,0.0,0.0,46.0,270.0,0.0,0.0,33.0,0.0,16.0,36.0,90.0,163.0,46.0,0.0,48.0,44.0,0.0,43.0,40.0,57.0,0.0,0.0,69.0,38.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,21.0,16.0,0.0,17.0,0.0,0.0,23.0,18.0,0.0,41.0,51.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,186.0,26.0,0.0,0.0,0.0,0.0,0.0,52.0,280.0,0.0,0.0,35.0,18.0,0.0,35.0,94.0,164.0,58.0,0.0,47.0,42.0,0.0,39.0,39.0,57.0,0.0,0.0,60.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,28.0,25.0,0.0,16.0,0.0,0.0,20.0,0.0,16.0,45.0,60.0,70.0,16.0,0.0,0.0,0.0,0.0,0.0,94.0,187.0,25.0,0.0,0.0,0.0,0.0,0.0,52.0,272.0,0.0,0.0,34.0,22.0,0.0,35.0,101.0,163.0,52.0,0.0,38.0,51.0,18.0,47.0,38.0,61.0,0.0,0.0,64.0,40.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,23.0,23.0,0.0,24.0,0.0,0.0,22.0,0.0,21.0,45.0,61.0,66.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,185.0,19.0,0.0,0.0,0.0,0.0,0.0,50.0,263.0,0.0,0.0,39.0,19.0,0.0,29.0,92.0,169.0,53.0,0.0,49.0,52.0,17.0,40.0,42.0,65.0,0.0,0.0,66.0,42.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,24.0,21.0,0.0,20.0,0.0,0.0,23.0,17.0,22.0,43.0,64.0,70.0,18.0,0.0,0.0,0.0,0.0,0.0,106.0,190.0,18.0,0.0,0.0,0.0,0.0,0.0,51.0,270.0,0.0,0.0,38.0,17.0,0.0,32.0,89.0,171.0,56.0,0.0,49.0,53.0,21.0,46.0,37.0,56.0,0.0,0.0,65.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,22.0,26.0,0.0,25.0,0.0,0.0,26.0,17.0,20.0,48.0,56.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,179.0,20.0,0.0,0.0,0.0,0.0,0.0,46.0,260.0,0.0,0.0,32.0,0.0,17.0,31.0,86.0,161.0,62.0,0.0,50.0,50.0,21.0,44.0,40.0,65.0,0.0,0.0,61.0,47.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,26.0,22.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,45.0,49.0,77.0,17.0,0.0,0.0,0.0,0.0,0.0,102.0,189.0,18.0,0.0,0.0,0.0,0.0,0.0,46.0,285.0,0.0,0.0,24.0,22.0,19.0,36.0,100.0,164.0,55.0,0.0,47.0,52.0,23.0,46.0,34.0,56.0,0.0,0.0,65.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,20.0,21.0,0.0,0.0,0.0,0.0,26.0,16.0,18.0,48.0,53.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,188.0,34.0,0.0,0.0,0.0,0.0,0.0,50.0,283.0,0.0,0.0,32.0,17.0,19.0,38.0,109.0,181.0,62.0,0.0,49.0,49.0,16.0,50.0,40.0,64.0,0.0,0.0,65.0,37.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,25.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,18.0,52.0,66.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,194.0,21.0,0.0,0.0,0.0,0.0,0.0,44.0,280.0,0.0,0.0,31.0,0.0,20.0,31.0,100.0,176.0,61.0,0.0,47.0,50.0,18.0,48.0,36.0,60.0,0.0,0.0,68.0,39.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,27.0,21.0,0.0,26.0,0.0,0.0,25.0,0.0,18.0,41.0,68.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,193.0,34.0,0.0,0.0,0.0,0.0,0.0,51.0,285.0,0.0,0.0,31.0,0.0,0.0,39.0,100.0,175.0,63.0,0.0,45.0,52.0,19.0,51.0,31.0,61.0,0.0,0.0,62.0,44.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,26.0,24.0,0.0,26.0,0.0,0.0,19.0,0.0,19.0,51.0,57.0,66.0,19.0,0.0,0.0,0.0,0.0,0.0,87.0,176.0,23.0,0.0,0.0,0.0,0.0,0.0,50.0,275.0,0.0,0.0,39.0,20.0,16.0,33.0,103.0,181.0,63.0,0.0,53.0,49.0,0.0,46.0,35.0,66.0,0.0,0.0,67.0,45.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,23.0,25.0,0.0,25.0,0.0,0.0,20.0,0.0,22.0,50.0,59.0,77.0,0.0,0.0,0.0,0.0,0.0,20.0,99.0,183.0,25.0,0.0,0.0,0.0,0.0,0.0,42.0,291.0,0.0,0.0,36.0,23.0,17.0,34.0,97.0,175.0,57.0,0.0,51.0,53.0,22.0,50.0,40.0,60.0,0.0,0.0,68.0,48.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,23.0,25.0,0.0,25.0,0.0,0.0,19.0,0.0,21.0,54.0,61.0,73.0,19.0,0.0,0.0,0.0,0.0,0.0,99.0,194.0,28.0,0.0,0.0,0.0,0.0,0.0,43.0,284.0,0.0,0.0,26.0,16.0,0.0,48.0,98.0,170.0,62.0,0.0,47.0,51.0,0.0,51.0,29.0,66.0,0.0,0.0,66.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,28.0,0.0,0.0,24.0,0.0,0.0,25.0,0.0,17.0,49.0,57.0,72.0,19.0,0.0,0.0,0.0,0.0,0.0,99.0,182.0,27.0,0.0,0.0,0.0,0.0,0.0,50.0,280.0,0.0,0.0,30.0,24.0,19.0,37.0,98.0,166.0,51.0,0.0,47.0,46.0,24.0,49.0,38.0,68.0,0.0,0.0,71.0,43.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,30.0,24.0,0.0,20.0,0.0,0.0,19.0,23.0,20.0,55.0,59.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,185.0,30.0,0.0,0.0,0.0,0.0,0.0,41.0,284.0,0.0,0.0,35.0,17.0,16.0,29.0,103.0,173.0,63.0,0.0,42.0,47.0,19.0,46.0,41.0,70.0,0.0,0.0,68.0,45.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
