FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,32.0,45.0,0.0,0.0,0.0,0.0,0.0,47.0,46.0,187.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0,0.0,0.0,0.0,0.0,26.0,42.0,262.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,31.0,40.0,0.0,0.0,0.0,0.0,20.0,50.0,47.0,183.0,151.0,0.0,0.0,0.0,0.0,0.0,16.0,53.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,258.0,115.0,17.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,36.0,51.0,0.0,0.0,0.0,0.0,18.0,51.0,34.0,182.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,253.0,118.0,17.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,54.0,48.0,184.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,0.0,22.0,43.0,262.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,49.0,0.0,0.0,0.0,0.0,0.0,54.0,34.0,173.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,0.0,23.0,38.0,257.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,34.0,50.0,17.0,0.0,0.0,0.0,21.0,53.0,41.0,172.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,0.0,0.0,18.0,37.0,259.0,115.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,53.0,0.0,0.0,0.0,0.0,17.0,50.0,45.0,174.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,17.0,0.0,0.0,0.0,0.0,23.0,36.0,255.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,52.0,0.0,0.0,0.0,0.0,0.0,55.0,45.0,178.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,0.0,0.0,0.0,0.0,22.0,32.0,262.0,121.0,19.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,49.0,0.0,0.0,0.0,0.0,23.0,56.0,43.0,181.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,24.0,28.0,273.0,118.0,18.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,36.0,52.0,0.0,0.0,0.0,0.0,22.0,52.0,34.0,178.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,21.0,0.0,0.0,0.0,0.0,27.0,42.0,271.0,115.0,0.0,0.0,0.0,17.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,33.0,48.0,0.0,0.0,0.0,0.0,18.0,52.0,45.0,183.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,0.0,0.0,0.0,0.0,21.0,37.0,272.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,36.0,48.0,0.0,0.0,0.0,0.0,24.0,55.0,34.0,186.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,19.0,43.0,274.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,43.0,0.0,0.0,0.0,0.0,21.0,56.0,44.0,195.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,18.0,0.0,0.0,0.0,0.0,21.0,32.0,275.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,47.0,0.0,0.0,0.0,0.0,22.0,58.0,43.0,186.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,270.0,117.0,0.0,0.0,0.0,17.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,35.0,48.0,0.0,0.0,0.0,0.0,20.0,54.0,43.0,185.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,18.0,0.0,0.0,0.0,0.0,24.0,37.0,266.0,110.0,0.0,0.0,0.0,16.0,17.0,0.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,55.0,16.0,0.0,0.0,0.0,20.0,55.0,41.0,188.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,0.0,0.0,0.0,0.0,25.0,41.0,261.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,26.0,45.0,0.0,0.0,0.0,0.0,22.0,54.0,37.0,170.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,0.0,0.0,0.0,0.0,28.0,39.0,260.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
